club,points,wins,draws,losses,goals_for,goals_against,games_played,avg_plyr_salary,league,goals,yellow_card,red_card,possession,passing,AerialsWon,tackles_pg,Interceptions pg,fouls_pg,shots,shots_on,shots_off,dribbles_pp_pg,rating,prop_shots_on,goals_pg
West Bromwich Albion,31,6,13,19,31,56,38,2890,EPL,31,73,1,42.8,72.4,21,15.9,12.3,11.6,9.9,3,6.9,8.4,6.63,0.30303030303030304,0.8157894736842105
Bayern Munich,84,27,3,4,92,28,34,6740,Bundesliga,92,42,0,62.4,87.6,15.9,17.9,10.4,10.8,17.7,7,10.7,8.1,7.13,0.3954802259887006,2.7058823529411766
Schalke 04,63,18,9,7,53,37,34,2150,Bundesliga,53,64,2,47.9,79,17.7,21.2,14.6,16.1,11.9,4.9,7,9.3,6.88,0.411764705882353,1.5588235294117647
Hoffenheim,55,15,10,9,66,48,34,1460,Bundesliga,66,71,0,50.6,81.5,14.2,20.2,10.1,14.9,14,5.3,8.7,6.9,6.82,0.37857142857142856,1.9411764705882353
Borussia Dortmund,55,15,10,9,64,47,34,3560,Bundesliga,64,39,3,56.9,82.7,17.8,20.4,9.9,11.9,14.3,5.2,9.1,8.9,6.87,0.36363636363636365,1.8823529411764706
Bayer Leverkusen,55,15,10,9,58,44,34,1970,Bundesliga,58,55,4,53.5,81.2,17.3,19,11.5,13.3,15,5.1,9.9,9.1,6.84,0.33999999999999997,1.7058823529411764
RasenBallsport Leipzig,53,15,8,11,57,53,34,1650,Bundesliga,57,42,6,53.8,79.3,19.9,20.5,11.7,13.3,14.4,5.4,9,10.7,6.84,0.375,1.6764705882352942
VfB Stuttgart,51,15,6,13,36,36,34,700,Bundesliga,36,55,2,47.3,77.1,20.2,20.5,12.2,13.6,10.7,3.6,7.1,7,6.75,0.33644859813084116,1.0588235294117647
Eintracht Frankfurt,49,14,7,13,45,45,34,830,Bundesliga,45,72,2,48.8,75.7,21,18.3,12,15.5,11.5,4.4,7.1,7.2,6.75,0.3826086956521739,1.3235294117647058
Borussia Moenchengladbach,47,13,8,13,47,52,34,1400,Bundesliga,47,47,0,51.4,81.6,16.4,19.9,11.3,11.7,13.4,4.7,8.7,9.2,6.77,0.35074626865671643,1.3823529411764706
Hertha Berlin,43,10,13,11,43,46,34,1300,Bundesliga,43,49,3,47,76.6,21.3,19.3,11.4,14.5,9.4,3.9,5.5,7.1,6.74,0.4148936170212766,1.2647058823529411
Werder Bremen,42,10,12,12,37,40,34,810,Bundesliga,37,55,0,47.6,76.1,20.2,17.6,12.4,15.4,12.9,4.5,8.4,6,6.71,0.3488372093023256,1.088235294117647
Augsburg,41,10,11,13,43,46,34,670,Bundesliga,43,66,2,46.7,73.2,21.7,21.3,11.8,14.4,12.8,4.3,8.5,5.4,6.75,0.33593749999999994,1.2647058823529411
Hannover 96,39,10,9,15,44,54,34,580,Bundesliga,44,63,0,47.9,73.7,24.8,19.6,11.2,14.3,12.8,4.3,8.5,6.8,6.73,0.33593749999999994,1.2941176470588236
Mainz 05,36,9,9,16,38,52,34,730,Bundesliga,38,59,3,46,74.3,21.4,20.6,11.8,15.6,12.2,4.4,7.8,8,6.68,0.3606557377049181,1.1176470588235294
Freiburg,36,8,12,14,32,56,34,580,Bundesliga,32,50,5,45.8,74.8,22.1,18.8,11.5,13.1,11.3,3.5,7.8,6.4,6.63,0.30973451327433627,0.9411764705882353
Wolfsburg,33,6,15,13,36,48,34,2310,Bundesliga,36,55,6,49.6,79.3,18.6,17.3,11.9,13.1,10.4,3.5,6.9,6.5,6.67,0.3365384615384615,1.0588235294117647
Hamburger SV,31,8,7,19,29,53,34,1320,Bundesliga,29,57,4,48.9,73.3,20.9,21.4,10.8,14.7,11.6,4.1,7.5,7.8,6.6,0.35344827586206895,0.8529411764705882
FC Köln,22,5,7,22,35,70,34,1290,Bundesliga,35,68,1,47.9,77.1,20.4,19.9,11.4,14.1,11.4,3.4,8,6.8,6.6,0.2982456140350877,1.0294117647058822
